metrics_relpath,method,dataset,dimensionality,sampling_mode,k_input,n_context_samples,n_preds,psnr,ssim,mse,psnr_roi,ssim_roi,mse_roi,fa_mae,md_mae,ad_mae,rd_mae
baselines/mppca/dbrain/metrics.json,mppca,dbrain,,,,,,22.58977407594213,0.4350408613681793,0.005508362781256437,28.444853230039154,0.5209640264511108,0.0014305883449654815,0.08983691484687088,4650.243153686126,11333.01575502966,1332.1041649577764
baselines/mppca/dbrain_sigma_050/metrics.json,mppca,dbrain,,,,,,29.560925098014646,0.5169733166694641,0.0011063881684094667,33.33379615931327,0.6023751497268677,0.00046410943675661344,0.10089196563635124,4443.208478073361,10868.56757491024,1391.856281970397
baselines/mppca/dbrain_sigma_100/metrics.json,mppca,dbrain,,,,,,22.58977407594213,0.4350408613681793,0.005508362781256437,28.444853230039154,0.5209640264511108,0.0014305883449654815,0.08983691484687088,4650.243153686126,11333.01575502966,1332.1041649577764
baselines/mppca/dbrain_sigma_150/metrics.json,mppca,dbrain,,,,,,19.45141530557575,0.3968195915222168,0.011346409097313881,25.54306317917261,0.4779234826564789,0.0027905748406148946,0.09780135185131092,4657.3489277934395,11354.372759668946,1341.2002381631405
baselines/mppca/dbrain_sigma_200/metrics.json,mppca,dbrain,,,,,,17.44460112861752,0.3647134602069855,0.01801108568906784,23.548052553731512,0.4403160810470581,0.004417684950416391,0.0863313951829382,4666.102078142642,11355.014887158877,1334.8633512436593
drcnet_hybrid_rgs/metrics/dbrain/b2500/2d_rgs_G60_K16/_subset_f0p6/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,2d,rgs,16,16,12,26.376454927357436,0.4732799530029297,0.0023033213801681995,27.10974657688663,0.5568628907203674,0.0019454735353198172,0.22963792663578744,3435.424038054232,8271.235215810948,1055.372602760375
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K10/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,10,16,12,24.520443848963932,0.4448789954185486,0.003531470661982894,26.455310887445904,0.5286549925804138,0.0022618766562809756,0.23781481659535594,3457.1353812874613,8320.404549312334,1038.1112231160473
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.05/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,16,16,12,26.062346067234685,0.4686179459095001,0.0024760840460658073,29.75842643433182,0.5552027821540833,0.0010572004627076616,0.25794121136365067,3445.8166480637415,8285.035230295642,1031.0613748619182
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,16,48,20,5.372146623147881,-0.10002398490905762,0.2902587354183197,9.537992285675944,-0.12259344756603241,0.11122457228897219,0.26059256221857197,3538.7561785884136,8510.879972236493,1068.82837483306
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.15/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,16,16,12,22.034082520367832,0.40930208563804626,0.00626025116071105,25.106799288993177,0.4900795519351959,0.003085460650766023,0.22020720845523808,3430.9490659923863,8257.378420556259,1084.8659379764722
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.2/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,16,16,12,22.740389616650013,0.40622571110725403,0.00532060582190752,23.520540589863867,0.4841853380203247,0.00444575903595138,0.22109861464152444,3436.710255194849,8243.570938101046,1146.807945488708
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K24/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,24,16,12,23.91743312818467,0.4390770494937897,0.004057482350617647,26.91727376544077,0.5233770608901978,0.0020336334460766647,0.2558563344354647,3453.1370245152066,8303.310554416787,1033.4822561218414
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K30/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,30,16,12,24.56937006678318,0.4438537061214447,0.003491909708827734,26.360985214657155,0.52740079164505,0.0023115404780445353,0.24642260783309136,3461.903266003329,8328.445662333277,1035.9963156600736
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K5/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,5,16,12,24.621140820725913,0.4450591802597046,0.0034505308140069246,26.461315080548577,0.5286535620689392,0.002258751588836632,0.23192430485822493,3456.860731858904,8319.174457385237,1040.4271453395154
drcnet_hybrid_rgs/metrics/dbrain/b2500/sequential_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,sequential,16,16,12,20.775831404961874,0.39566898345947266,0.008364055305719376,23.595192405464537,0.4750663936138153,0.0043699927936586514,0.23897613292220632,3554.994260197512,8506.416899667307,1167.248598772458
drcnet_hybrid_rgs/metrics/dbrain_angular_only/b2500/angular_rgs_G60_K15/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,15,16,12,14.992556232392818,0.28672176599502563,0.03167702630162239,10.872238912742652,0.3406629264354706,0.08180429729122678,0.23277060294929486,3498.5898519065568,8427.47504166624,1108.4516852702816
drcnet_hybrid_rgs/metrics/dbrain_film_conditioning/b2500/rgs_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,16,16,12,25.40328735291839,0.4552014172077179,0.002881849417462945,26.243569928601765,0.5389187335968018,0.002374887107629224,0.24054942048283848,3452.1930031124793,8309.523885957156,1039.8028168038745
drcnet_hybrid_rgs/metrics/dbrain_orientation_encoding/b2500/rgs_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,16,16,12,16.63937520183205,0.25105398893356323,0.021680161356925964,16.724507982049445,0.30347374081611633,0.021259310573908095,0.24204664982147245,3477.872869699347,8365.397166772153,1045.6669655287285
drcnet_hybrid_rgs/metrics/dbrain_orientation_encoding_OLD/b2500/rgs_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,16,16,12,23.822013772538728,0.43950095772743225,0.0041476162150502205,26.89962196016751,0.5239855647087097,0.0020419157001452777,0.24994404893353134,3457.924809032425,8320.069988549103,1034.3581289320855
drcnet_hybrid_rgs/metrics/dbrain_spatial_only/b2500/spatial_rgs_G60_K1/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,1,16,12,22.06579208702873,0.3998016119003296,0.006214708089828491,24.468354823084894,0.4778057932853699,0.003574082254292492,0.22338080790153264,3457.451434648306,8327.770945435517,1055.8914907143042
drcnet_hybrid_rgs/metrics/dbrain_supervised/b2500/rgs_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,16,16,12,21.373888524897637,0.36863625049591064,0.007288046646863222,22.91501767021599,0.4463415741920471,0.0051109103805979175,0.2387364470985009,3683.8319055309316,8803.634416843344,1242.3155142839803
drcnet_hybrid_rgs/metrics/stanford/b1000/rgs_G150_K10/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,stanford,,rgs,10,16,23,38.71058012261144,0.9640348553657532,0.00013456806482281536,36.98587928720358,0.9640348553657532,0.0002001760517431682,,,,
drcnet_hybrid_rgs/metrics/stanford/b1000/rgs_G150_K16/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,stanford,,rgs,16,48,10,39.78797701442467,0.9692198634147644,0.00010500313510419801,38.06282434957375,0.9692198634147644,0.0001562131218303578,,,,
drcnet_hybrid_rgs/metrics/stanford/b1000/rgs_G150_K24/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,stanford,,rgs,24,16,23,41.19796457191302,0.9771333932876587,7.589330925839022e-05,39.47361679701912,0.9771333932876587,0.00011288554512772428,,,,
drcnet_hybrid_rgs/metrics/stanford/b1000/rgs_G150_K30/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,stanford,,rgs,30,16,23,36.90160389201321,0.9413306713104248,0.0002040984109044075,35.176198422005584,0.9413306713104248,0.0003036547640742138,,,,
drcnet_hybrid_rgs/metrics/stanford/b1000/rgs_G150_K5/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,stanford,,rgs,5,16,23,36.58152090938161,0.9413331151008606,0.00021970905072521418,34.85572113030315,0.9413331151008606,0.00032690973883293744,,,,
drcnet_hybrid_rgs/metrics/stanford_film_conditioning/b1000/rgs_G150_K16/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,stanford,,rgs,16,16,23,38.27170900627045,0.9546297192573547,0.00014887751603964716,36.54726377151966,0.9546297192573547,0.00022144894459418205,0.03563082172765766,7.640055228687036e-06,1.4488744934496232e-05,4.440733113294767e-06
mds2s/metrics/dbrain/bvalue_2500/num_volumes_24/noise_sigma_0.1/learning_rate_0.0001/metrics.json,mds2s,dbrain,,,,,10,15.511683548910089,0.42554235458374023,0.028108108788728714,15.636487785791447,0.5070659518241882,0.02731185648462846,0.06274025379374679,811.2036770573723,2005.681041837051,240.92723218185205
mds2s/metrics/dbrain/bvalue_2500/num_volumes_60/noise_sigma_0.05/learning_rate_0.0001/metrics.json,mds2s,dbrain,,,,,10,16.72420965446888,0.44257399439811707,0.02126077003777027,16.77469166260866,0.5252106189727783,0.02101506760380912,0.23085840817506045,3448.673498550078,8298.103804111468,1044.1679624858734
mds2s/metrics/dbrain/bvalue_2500/num_volumes_60/noise_sigma_0.1/learning_rate_0.0001/metrics.json,mds2s,dbrain,,,,,10,15.14191191069284,0.424969881772995,0.030606158077716827,15.282163019253359,0.5082094073295593,0.029633549655632235,0.22977688442644925,3448.9053121350853,8301.775689032385,1044.613630054169
mds2s/metrics/stanford/bvalue_2500/num_volumes_150/noise_sigma_0.01/learning_rate_0.0003/metrics.json,mds2s,stanford,,,,,10,19.068576263769852,0.6900150179862976,0.012392029166221619,18.878562652522895,0.6900150179862976,0.01294624308411584,,,,
p2s/metrics/dbrain/bvalue_2500/noise_sigma_0.05/backend_dipy_model_ols/metrics.json,patch2self,dbrain,,,,,,20.87853393083591,0.4192521870136261,0.008168580941855907,23.739087456800902,0.5093721151351929,0.004227574822928757,0.23630048789565347,3415.3501179666882,8206.956907001537,1070.3118203878714
p2s/metrics/dbrain/bvalue_2500/noise_sigma_0.1/backend_dipy_model_ols/metrics.json,patch2self,dbrain,,,,,,17.64615969453613,0.38057082891464233,0.01719428040087223,21.31084505689405,0.46546995639801025,0.007394614361346136,0.23932753631606474,3438.2327128262214,8264.367725926139,1068.858828003715
p2s/metrics/dbrain/bvalue_2500/noise_sigma_0.1/backend_sklearn_reference_model_ols_stride_1/metrics.json,patch2self,dbrain,,,,,,17.57298243109455,0.38177499175071716,0.017486456781625748,21.389698330294422,0.4670030474662781,0.007261564059657912,0.09170056074676497,1121.8141187605663,2700.4377488429204,345.54840105174793
p2s/metrics/stanford/bvalue_2000/noise_sigma_0.01/backend_dipy_model_ols/metrics.json,patch2self,stanford,,,,,,29.878428711970642,0.7056324481964111,0.0010283882729709148,29.32735872619741,0.7056324481964111,0.0011675194806900586,,,,
p2s/metrics/stanford/bvalue_2000/noise_sigma_0.01/metrics.json,patch2self,,,,,,,,,,,,,,,,
restormer_hybrid_rgs/metrics/dbrain/b2500/2d_rgs_G60_K16/_subset_f0p6/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,2d,rgs,16,16,5,25.95576705630288,0.46675238013267517,0.002537600928917527,26.435479317870527,0.5503976941108704,0.0022722289258320432,0.23089542686915684,3431.8664524984115,8248.883167240958,1076.6021436279534
restormer_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K10/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,rgs,10,16,12,22.496801168834402,0.4264483153820038,0.005627556703984737,26.604739778980857,0.5105605721473694,0.00218537528582443,0.21953578497120693,3412.9480202524633,8222.126269558754,1091.386420980346
restormer_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.05/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,rgs,16,16,12,25.4482199369364,0.465347021818161,0.002852187491953373,27.19279113311797,0.5511046051979065,0.0019086262030489861,0.21701675326001982,3420.94571161487,8243.44491507673,1051.7671028807845
restormer_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,rgs,16,48,20,15.48280961297931,0.14192141592502594,0.02829560451209545,15.218829834408858,0.17157797515392303,0.030068861005969637,0.24237025120269537,3502.068055476919,8420.459957949672,1080.359038259037
restormer_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.15/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,rgs,16,16,12,21.193938805263727,0.4070766270160675,0.0075963702984154224,24.63058027485397,0.4878389537334442,0.0034430392552273845,0.24519486218532804,3467.5980879498984,8336.274519961142,1040.677317256386
restormer_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.2/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,rgs,16,16,12,20.428148323192524,0.38111889362335205,0.009061189368367195,23.023618668956097,0.4572986960411072,0.0049846893173790055,0.2597174054850909,3452.467431819407,8297.274130411457,1036.7841551067409
restormer_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K24/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,rgs,24,16,12,22.930214262131912,0.43018838763237,0.005093057174235582,25.830544763733975,0.513802170753479,0.002611833767509961,0.21976362750840003,3411.6958809682314,8218.66715875512,1081.2818310383893
restormer_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K30/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,rgs,30,16,12,23.717161186921004,0.4360767900943756,0.004248971585184336,25.500531970038438,0.5192311406135559,0.00281803760494524,0.21993288602191818,3432.9324883289473,8272.341011608276,1057.7533511229065
restormer_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K5/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,rgs,5,16,12,22.955187272939025,0.4258398413658142,0.005063855089247227,25.88352194205107,0.5087236166000366,0.002580166907937567,0.2489461338430444,3459.3428814810377,8319.599321737212,1034.9851623338202
restormer_hybrid_rgs/metrics/dbrain/b2500/sequential_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,sequential,16,16,12,20.493329723242315,0.38548871874809265,0.008926209062337875,21.63970371807702,0.46216100454330444,0.00685535031046149,0.24649154022638453,3555.8441982392615,8592.729663615857,1116.07406335601
restormer_hybrid_rgs/metrics/dbrain_film_conditioning/b2500/rgs_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,rgs,16,16,12,23.60281204983043,0.43798506259918213,0.004362332634627819,22.69356833778042,0.5190160274505615,0.005378276244728718,0.2603486455487831,3423.416735872285,8240.649611597313,1033.895264367814
restormer_hybrid_rgs/metrics/dbrain_orientation_encoding/b2500/rgs_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,rgs,16,16,12,15.034102805563423,0.2434099018573761,0.03137543052434921,18.112664511543176,0.29544004797935486,0.015443068002976743,0.2668645594730496,3481.092774300588,8398.219431055135,1051.7532645363199
restormer_hybrid_rgs/metrics/dbrain_orientation_encoding_OLD/b2500/rgs_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,rgs,16,16,12,23.004138791501227,0.4297123849391937,0.00500709842890501,23.390489017082068,0.5116150379180908,0.0045809030238680715,0.2576570961291455,3437.8460039803817,8258.567766894672,1033.2435551094566
restormer_hybrid_rgs/metrics/dbrain_supervised/b2500/rgs_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,dbrain,,rgs,16,16,12,21.56901502546789,0.3695787787437439,0.006967845372855663,22.60111075072483,0.44713109731674194,0.005494003003259822,0.23742475208694824,3713.4108672665106,8839.284713141747,1274.622664768198
restormer_hybrid_rgs/metrics/stanford/b1000/rgs_G150_K10/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,stanford,,rgs,10,16,23,27.39531507322114,0.6581591963768005,0.001821664976887405,26.603743747031054,0.6581591963768005,0.002185876533551301,,,,
restormer_hybrid_rgs/metrics/stanford/b1000/rgs_G150_K16/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,stanford,,rgs,16,48,10,27.07641181541467,0.6188727617263794,0.00196046382188797,26.12166079284618,0.6188727617263794,0.0024424959719644276,,,,
restormer_hybrid_rgs/metrics/stanford/b1000/rgs_G150_K24/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,stanford,,rgs,24,16,23,26.52404529757685,0.6124311089515686,0.002226360375061631,25.645537055293172,0.6124311089515686,0.0027255007821890827,,,,
restormer_hybrid_rgs/metrics/stanford/b1000/rgs_G150_K30/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,stanford,,rgs,30,16,23,28.198150227635715,0.6595867276191711,0.0015142059419304132,27.08132294409434,0.6595867276191711,0.0019582480875258296,,,,
restormer_hybrid_rgs/metrics/stanford/b1000/rgs_G150_K5/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,stanford,,rgs,5,16,23,24.453756403416303,0.5924754738807678,0.003586116014048457,23.786857700791238,0.5924754738807678,0.004181327741499491,,,,
restormer_hybrid_rgs/metrics/stanford_film_conditioning/b1000/rgs_G150_K16/noise_rician_sigma_0.01/learning_rate_0.00045/metrics.json,restormer_hybrid_rgs,stanford,,rgs,16,16,23,25.16586741770029,0.6074198484420776,0.003043780103325844,24.001642211274735,0.6074198484420776,0.003979566669078944,0.07562484029291003,2.6833341354537443e-05,3.753779303896478e-05,2.148465007041701e-05
